Avatar,id,Animation,Rating
robot,31,LeftHandToFace,2
woman,1,LeftHandToFace,4
woman,2,LeftHandToFace,1
woman,3,LeftHandToFace,3
woman,4,LeftHandToFace,3
woman,5,LeftHandToFace,2
woman,6,LeftHandToFace,1
woman,7,LeftHandToFace,4
woman,8,LeftHandToFace,4
woman,9,LeftHandToFace,1
woman,10,LeftHandToFace,1
woman,11,LeftHandToFace,2
woman,12,LeftHandToFace,2
woman,13,LeftHandToFace,2
woman,14,LeftHandToFace,3
woman,15,LeftHandToFace,4
woman,16,LeftHandToFace,4
woman,17,LeftHandToFace,1
woman,18,LeftHandToFace,3
woman,19,LeftHandToFace,2
woman,20,LeftHandToFace,3
woman,21,LeftHandToFace,4
woman,22,LeftHandToFace,3
woman,23,LeftHandToFace,2
woman,24,LeftHandToFace,4
woman,25,LeftHandToFace,1
woman,26,LeftHandToFace,1
woman,27,LeftHandToFace,1
woman,28,LeftHandToFace,3
woman,29,LeftHandToFace,3
woman,30,LeftHandToFace,1
woman,31,LeftHandToFace,3
